,classifier_name,dataset_name,accuracy,fit_time
110,KNN7,dataset11,0.98,0.008997917175292969
111,KNN7,dataset12,1.0,0.008004188537597656
112,KNN7,dataset13,0.92,0.008002758026123047
113,KNN7,dataset14,0.98,0.011991024017333984
114,KNN7,dataset15,0.94,0.00800466537475586
115,KNN7,dataset16,0.98,0.005997657775878906
116,KNN7,dataset17,0.98,0.009997367858886719
117,KNN7,dataset18,0.98,0.006998777389526367
118,KNN7,dataset19,1.0,0.008000612258911133
119,KNN7,dataset20,0.98,0.007000446319580078
120,KNN7,dataset21,0.98,0.007999420166015625
121,KNN7,dataset22,1.0,0.006998538970947266
122,KNN7,dataset23,0.92,0.009999752044677734
123,KNN7,dataset24,0.98,0.009002447128295898
124,KNN7,dataset25,0.94,0.013998746871948242
125,KNN7,dataset26,0.98,0.007999658584594727
126,KNN7,dataset27,0.98,0.006002187728881836
127,KNN7,dataset28,0.98,0.00800013542175293
128,KNN7,dataset29,1.0,0.007000923156738281
129,KNN7,dataset30,0.98,0.007001638412475586
130,KNN7,dataset31,0.98,0.005997419357299805
131,KNN7,dataset32,1.0,0.006999492645263672
132,KNN7,dataset33,0.92,0.006994724273681641
133,KNN7,dataset34,0.98,0.007001638412475586
134,KNN7,dataset35,0.94,0.007994890213012695
135,KNN7,dataset36,0.98,0.005001544952392578
136,KNN7,dataset37,0.98,0.006999492645263672
137,KNN7,dataset38,0.98,0.006000518798828125
138,KNN7,dataset39,1.0,0.007005214691162109
139,KNN7,dataset40,0.98,0.006994009017944336
140,KNN7,dataset41,0.98,0.005998849868774414
141,KNN7,dataset42,1.0,0.008000612258911133
142,KNN7,dataset43,0.92,0.006000041961669922
143,KNN7,dataset44,0.98,0.008000850677490234
144,KNN7,dataset45,0.94,0.005998373031616211
145,KNN7,dataset46,0.98,0.006000518798828125
146,KNN7,dataset47,0.98,0.006994962692260742
147,KNN7,dataset48,0.98,0.006000995635986328
148,KNN7,dataset49,1.0,0.007000923156738281
149,KNN7,dataset50,0.98,0.005999326705932617
150,KNN9,dataset1,0.98,0.009000778198242188
151,KNN9,dataset2,1.0,0.006999015808105469
152,KNN9,dataset3,0.92,0.0070340633392333984
153,KNN9,dataset4,0.94,0.0069997310638427734
154,KNN9,dataset5,0.94,0.006004810333251953
155,KNN9,dataset6,0.98,0.006992340087890625
156,KNN9,dataset7,0.96,0.005999565124511719
157,KNN9,dataset8,0.98,0.007002353668212891
158,KNN9,dataset9,1.0,0.006999015808105469
159,KNN9,dataset10,0.94,0.006997108459472656
160,KNN9,dataset11,0.98,0.005997419357299805
161,KNN9,dataset12,1.0,0.005999565124511719
162,KNN9,dataset13,0.92,0.00700068473815918
163,KNN9,dataset14,0.94,0.004999399185180664
164,KNN9,dataset15,0.94,0.007004261016845703
165,KNN9,dataset16,0.98,0.004999399185180664
166,KNN9,dataset17,0.96,0.0070416927337646484
167,KNN9,dataset18,0.98,0.006992816925048828
168,KNN9,dataset19,1.0,0.00599980354309082
169,KNN9,dataset20,0.94,0.007997989654541016
170,KNN9,dataset21,0.98,0.005040884017944336
171,KNN9,dataset22,1.0,0.008247613906860352
172,KNN9,dataset23,0.92,0.005998373031616211
173,KNN9,dataset24,0.94,0.007033824920654297
174,KNN9,dataset25,0.94,0.0069696903228759766
175,KNN9,dataset26,0.98,0.004999876022338867
176,KNN9,dataset27,0.96,0.007401466369628906
177,KNN9,dataset28,0.98,0.0060002803802490234
178,KNN9,dataset29,1.0,0.00762939453125
179,KNN9,dataset30,0.94,0.005999565124511719
180,KNN9,dataset31,0.98,0.005999565124511719
181,KNN9,dataset32,1.0,0.008000373840332031
182,KNN9,dataset33,0.92,0.005999565124511719
183,KNN9,dataset34,0.94,0.0069980621337890625
184,KNN9,dataset35,0.94,0.004998922348022461
185,KNN9,dataset36,0.98,0.004999876022338867
186,KNN9,dataset37,0.96,0.007000923156738281
187,KNN9,dataset38,0.98,0.006087303161621094
188,KNN9,dataset39,1.0,0.007570981979370117
189,KNN9,dataset40,0.94,0.0060002803802490234
190,KNN9,dataset41,0.98,0.00599980354309082
191,KNN9,dataset42,1.0,0.006999969482421875
