,accuracy,classifier_name,fit_time,dataset_name
0,0.98,KNN-3,0.007035017013549805,dataset1
1,0.96,KNN-3,0.006002664566040039,dataset2
2,0.94,KNN-3,0.008000850677490234,dataset3
3,0.98,KNN-3,0.005003929138183594,dataset4
4,0.98,KNN-3,0.004910707473754883,dataset5
5,0.98,KNN-3,0.006990671157836914,dataset6
6,0.98,KNN-3,0.00400090217590332,dataset7
7,0.96,KNN-3,0.001134634017944336,dataset8
8,0.98,KNN-3,0.007025003433227539,dataset9
9,1.0,KNN-3,0.0020503997802734375,dataset10
0,0.98,KNN-3,0.005024433135986328,dataset11
1,0.96,KNN-3,0.004012107849121094,dataset12
2,0.94,KNN-3,0.0059773921966552734,dataset13
3,0.98,KNN-3,0.003995418548583984,dataset14
4,0.98,KNN-3,0.0039997100830078125,dataset15
5,0.98,KNN-3,0.004999637603759766,dataset16
6,0.98,KNN-3,0.006402492523193359,dataset17
7,0.96,KNN-3,0.005034923553466797,dataset18
8,0.98,KNN-3,0.005974292755126953,dataset19
9,1.0,KNN-3,0.0049991607666015625,dataset20
0,0.98,KNN-3,0.0030508041381835938,dataset21
1,0.96,KNN-3,0.011389732360839844,dataset22
2,0.94,KNN-3,0.005033254623413086,dataset23
3,0.98,KNN-3,0.006962776184082031,dataset24
4,0.98,KNN-3,0.005999326705932617,dataset25
5,0.98,KNN-3,0.0050008296966552734,dataset26
6,0.98,KNN-3,0.0069997310638427734,dataset27
7,0.96,KNN-3,0.00503993034362793,dataset28
8,0.98,KNN-3,0.003072023391723633,dataset29
9,1.0,KNN-3,0.009145975112915039,dataset30
0,0.98,KNN-3,0.008003950119018555,dataset31
1,0.96,KNN-3,0.009154796600341797,dataset32
2,0.94,KNN-3,0.008305788040161133,dataset33
3,0.98,KNN-3,0.008994102478027344,dataset34
4,0.98,KNN-3,0.007999658584594727,dataset35
5,0.98,KNN-3,0.004998922348022461,dataset36
6,0.98,KNN-3,0.0050008296966552734,dataset37
7,0.96,KNN-3,0.006504535675048828,dataset38
8,0.98,KNN-3,0.004999637603759766,dataset39
9,1.0,KNN-3,0.004008769989013672,dataset40
0,0.98,KNN-3,0.0050334930419921875,dataset41
1,0.96,KNN-3,0.004989147186279297,dataset42
2,0.94,KNN-3,0.004057168960571289,dataset43
3,0.98,KNN-3,0.007048845291137695,dataset44
4,0.98,KNN-3,0.005024433135986328,dataset45
5,0.98,KNN-3,0.0050067901611328125,dataset46
6,0.98,KNN-3,0.006003379821777344,dataset47
7,0.96,KNN-3,0.006033658981323242,dataset48
8,0.98,KNN-3,0.004001140594482422,dataset49
9,1.0,KNN-3,0.007997989654541016,dataset50
0,0.98,W-KNN-3,0.003002166748046875,dataset1
1,0.94,W-KNN-3,0.004005908966064453,dataset2
2,0.94,W-KNN-3,0.00798654556274414,dataset3
3,0.98,W-KNN-3,0.0029959678649902344,dataset4
4,0.98,W-KNN-3,0.002048969268798828,dataset5
5,0.98,W-KNN-3,0.0077974796295166016,dataset6
6,0.98,W-KNN-3,0.003009796142578125,dataset7
7,0.96,W-KNN-3,0.003997802734375,dataset8
8,0.98,W-KNN-3,0.004968881607055664,dataset9
9,1.0,W-KNN-3,0.004025936126708984,dataset10
0,0.98,W-KNN-3,0.0029730796813964844,dataset11
1,0.94,W-KNN-3,0.006722211837768555,dataset12
2,0.94,W-KNN-3,0.00399327278137207,dataset13
3,0.98,W-KNN-3,0.003977298736572266,dataset14
4,0.98,W-KNN-3,0.0040242671966552734,dataset15
5,0.98,W-KNN-3,0.004998445510864258,dataset16
6,0.98,W-KNN-3,0.0030083656311035156,dataset17
7,0.96,W-KNN-3,0.004001140594482422,dataset18
8,0.98,W-KNN-3,0.003988981246948242,dataset19
9,1.0,W-KNN-3,0.005011320114135742,dataset20
0,0.98,W-KNN-3,0.003994464874267578,dataset21
1,0.94,W-KNN-3,0.003973484039306641,dataset22
2,0.94,W-KNN-3,0.00400090217590332,dataset23
3,0.98,W-KNN-3,0.004031658172607422,dataset24
4,0.98,W-KNN-3,0.00299835205078125,dataset25
5,0.98,W-KNN-3,0.0039708614349365234,dataset26
6,0.98,W-KNN-3,0.003998517990112305,dataset27
7,0.96,W-KNN-3,0.0039997100830078125,dataset28
8,0.98,W-KNN-3,0.005003690719604492,dataset29
9,1.0,W-KNN-3,0.004999637603759766,dataset30
0,0.98,W-KNN-3,0.003998756408691406,dataset31
1,0.94,W-KNN-3,0.003997802734375,dataset32
2,0.94,W-KNN-3,0.0029909610748291016,dataset33
3,0.98,W-KNN-3,0.005031108856201172,dataset34
4,0.98,W-KNN-3,0.0040073394775390625,dataset35
5,0.98,W-KNN-3,0.003958940505981445,dataset36
6,0.98,W-KNN-3,0.004999876022338867,dataset37
