,accuracy,classifier_name,fit_time,dataset_name
0,0.98,KNN-3,0.011996269226074219,dataset1
1,1.0,KNN-3,0.009036540985107422,dataset2
2,0.92,KNN-3,0.007973194122314453,dataset3
3,0.96,KNN-3,0.006000518798828125,dataset4
4,0.96,KNN-3,0.0069997310638427734,dataset5
5,0.96,KNN-3,0.007004499435424805,dataset6
6,0.94,KNN-3,0.006999015808105469,dataset7
7,0.94,KNN-3,0.007001399993896484,dataset8
8,0.98,KNN-3,0.006999969482421875,dataset9
9,0.94,KNN-3,0.007001161575317383,dataset10
0,0.98,KNN-3,0.0070476531982421875,dataset11
1,1.0,KNN-3,0.0069539546966552734,dataset12
2,0.92,KNN-3,0.007001399993896484,dataset13
3,0.96,KNN-3,0.00599980354309082,dataset14
4,0.96,KNN-3,0.006000041961669922,dataset15
5,0.96,KNN-3,0.00699925422668457,dataset16
6,0.94,KNN-3,0.0070002079010009766,dataset17
7,0.94,KNN-3,0.007003068923950195,dataset18
8,0.98,KNN-3,0.008003473281860352,dataset19
9,0.94,KNN-3,0.007995128631591797,dataset20
0,0.98,KNN-3,0.013039827346801758,dataset21
1,1.0,KNN-3,0.007004261016845703,dataset22
2,0.92,KNN-3,0.007965803146362305,dataset23
3,0.96,KNN-3,0.006995439529418945,dataset24
4,0.96,KNN-3,0.011997461318969727,dataset25
5,0.96,KNN-3,0.0069997310638427734,dataset26
6,0.94,KNN-3,0.007001399993896484,dataset27
7,0.94,KNN-3,0.006998300552368164,dataset28
8,0.98,KNN-3,0.009999990463256836,dataset29
9,0.94,KNN-3,0.007001161575317383,dataset30
0,0.98,KNN-3,0.005997657775878906,dataset31
1,1.0,KNN-3,0.0060002803802490234,dataset32
2,0.92,KNN-3,0.0069997310638427734,dataset33
3,0.96,KNN-3,0.0070002079010009766,dataset34
4,0.96,KNN-3,0.006999969482421875,dataset35
5,0.96,KNN-3,0.00699925422668457,dataset36
6,0.94,KNN-3,0.008005857467651367,dataset37
7,0.94,KNN-3,0.014026403427124023,dataset38
8,0.98,KNN-3,0.015006780624389648,dataset39
9,0.94,KNN-3,0.012001991271972656,dataset40
0,0.98,KNN-3,0.006997585296630859,dataset41
1,1.0,KNN-3,0.005998849868774414,dataset42
2,0.92,KNN-3,0.006964445114135742,dataset43
3,0.96,KNN-3,0.005981922149658203,dataset44
4,0.96,KNN-3,0.010962963104248047,dataset45
5,0.96,KNN-3,0.010000228881835938,dataset46
6,0.94,KNN-3,0.015001773834228516,dataset47
7,0.94,KNN-3,0.016997814178466797,dataset48
8,0.98,KNN-3,0.014001607894897461,dataset49
9,0.94,KNN-3,0.015001296997070312,dataset50
0,0.98,KNN-5,0.01699995994567871,dataset1
1,1.0,KNN-5,0.015002250671386719,dataset2
2,0.9,KNN-5,0.0149993896484375,dataset3
3,0.96,KNN-5,0.008001327514648438,dataset4
4,0.94,KNN-5,0.011997461318969727,dataset5
5,0.96,KNN-5,0.012001752853393555,dataset6
6,0.96,KNN-5,0.008999109268188477,dataset7
7,0.98,KNN-5,0.008997678756713867,dataset8
8,0.98,KNN-5,0.008001327514648438,dataset9
9,0.94,KNN-5,0.013002395629882812,dataset10
0,0.98,KNN-5,0.009999275207519531,dataset11
1,1.0,KNN-5,0.016999006271362305,dataset12
2,0.9,KNN-5,0.011998891830444336,dataset13
3,0.96,KNN-5,0.013002157211303711,dataset14
4,0.94,KNN-5,0.009995698928833008,dataset15
5,0.96,KNN-5,0.009999275207519531,dataset16
6,0.96,KNN-5,0.015039682388305664,dataset17
7,0.98,KNN-5,0.009998798370361328,dataset18
8,0.98,KNN-5,0.016011953353881836,dataset19
9,0.94,KNN-5,0.012000560760498047,dataset20
0,0.98,KNN-5,0.017996788024902344,dataset21
1,1.0,KNN-5,0.008002519607543945,dataset22
2,0.9,KNN-5,0.009994268417358398,dataset23
3,0.96,KNN-5,0.00903010368347168,dataset24
4,0.94,KNN-5,0.008978843688964844,dataset25
5,0.96,KNN-5,0.011000394821166992,dataset26
6,0.96,KNN-5,0.007997989654541016,dataset27
7,0.98,KNN-5,0.010993719100952148,dataset28
8,0.98,KNN-5,0.010003805160522461,dataset29
9,0.94,KNN-5,0.00899505615234375,dataset30
0,0.98,KNN-5,0.05899930000305176,dataset31
1,1.0,KNN-5,0.007997989654541016,dataset32
2,0.9,KNN-5,0.008974313735961914,dataset33
3,0.96,KNN-5,0.009983539581298828,dataset34
4,0.94,KNN-5,0.008033037185668945,dataset35
5,0.96,KNN-5,0.008966922760009766,dataset36
6,0.96,KNN-5,0.008042573928833008,dataset37
7,0.98,KNN-5,0.010959148406982422,dataset38
8,0.98,KNN-5,0.007951974868774414,dataset39
9,0.94,KNN-5,0.008033275604248047,dataset40
0,0.98,KNN-5,0.00797128677368164,dataset41
1,1.0,KNN-5,0.00804591178894043,dataset42
2,0.9,KNN-5,0.007951021194458008,dataset43
3,0.96,KNN-5,0.008032083511352539,dataset44
4,0.94,KNN-5,0.00796961784362793,dataset45
5,0.96,KNN-5,0.00803065299987793,dataset46
6,0.96,KNN-5,0.006968498229980469,dataset47
7,0.98,KNN-5,0.006998777389526367,dataset48
8,0.98,KNN-5,0.0069696903228759766,dataset49
9,0.94,KNN-5,0.007000446319580078,dataset50
0,0.98,KNN-7,0.006001710891723633,dataset1
1,1.0,KNN-7,0.0060024261474609375,dataset2
2,0.92,KNN-7,0.007002115249633789,dataset3
3,0.98,KNN-7,0.00600433349609375,dataset4
4,0.94,KNN-7,0.005998134613037109,dataset5
5,0.98,KNN-7,0.006949424743652344,dataset6
6,0.98,KNN-7,0.0060617923736572266,dataset7
7,0.98,KNN-7,0.005994319915771484,dataset8
8,1.0,KNN-7,0.006945371627807617,dataset9
9,0.98,KNN-7,0.00603032112121582,dataset10
0,0.98,KNN-7,0.006967782974243164,dataset11
1,1.0,KNN-7,0.007048368453979492,dataset12
2,0.92,KNN-7,0.007002592086791992,dataset13
3,0.98,KNN-7,0.006001472473144531,dataset14
4,0.94,KNN-7,0.0060040950775146484,dataset15
5,0.98,KNN-7,0.006002902984619141,dataset16
6,0.98,KNN-7,0.004999399185180664,dataset17
7,0.98,KNN-7,0.005950450897216797,dataset18
8,1.0,KNN-7,0.006046772003173828,dataset19
9,0.98,KNN-7,0.0070035457611083984,dataset20
0,0.98,KNN-7,0.007046222686767578,dataset21
1,1.0,KNN-7,0.0060040950775146484,dataset22
2,0.92,KNN-7,0.0069942474365234375,dataset23
3,0.98,KNN-7,0.0060155391693115234,dataset24
