,accuracy,classifier_name,fit_time,dataset_name
6,0.96,KNN-7,0.010006904602050781,dataset7
7,0.94,KNN-7,0.0059931278228759766,dataset8
8,0.98,KNN-7,0.010000228881835938,dataset9
9,1.0,KNN-7,0.007019758224487305,dataset10
0,0.98,KNN-7,0.007944822311401367,dataset11
1,0.98,KNN-7,0.0060024261474609375,dataset12
2,0.94,KNN-7,0.013029336929321289,dataset13
3,1.0,KNN-7,0.00796961784362793,dataset14
4,0.98,KNN-7,0.006994724273681641,dataset15
5,0.96,KNN-7,0.010986566543579102,dataset16
6,0.96,KNN-7,0.011001825332641602,dataset17
7,0.94,KNN-7,0.01099705696105957,dataset18
8,0.98,KNN-7,0.009003877639770508,dataset19
9,1.0,KNN-7,0.008029699325561523,dataset20
0,0.98,KNN-7,0.005999565124511719,dataset21
1,0.98,KNN-7,0.0060040950775146484,dataset22
2,0.94,KNN-7,0.006995677947998047,dataset23
3,1.0,KNN-7,0.006002187728881836,dataset24
4,0.98,KNN-7,0.00699925422668457,dataset25
5,0.96,KNN-7,0.006001472473144531,dataset26
6,0.96,KNN-7,0.007003307342529297,dataset27
7,0.94,KNN-7,0.006032466888427734,dataset28
8,0.98,KNN-7,0.005007505416870117,dataset29
9,1.0,KNN-7,0.0059893131256103516,dataset30
0,0.98,KNN-7,0.006002902984619141,dataset31
1,0.98,KNN-7,0.005990505218505859,dataset32
2,0.94,KNN-7,0.005999326705932617,dataset33
3,1.0,KNN-7,0.005967378616333008,dataset34
4,0.98,KNN-7,0.006044626235961914,dataset35
5,0.96,KNN-7,0.005999565124511719,dataset36
6,0.96,KNN-7,0.006003856658935547,dataset37
7,0.94,KNN-7,0.005995750427246094,dataset38
8,0.98,KNN-7,0.0060040950775146484,dataset39
9,1.0,KNN-7,0.006000995635986328,dataset40
0,0.98,KNN-7,0.0049970149993896484,dataset41
1,0.98,KNN-7,0.006000995635986328,dataset42
2,0.94,KNN-7,0.006007671356201172,dataset43
3,1.0,KNN-7,0.0059642791748046875,dataset44
4,0.98,KNN-7,0.006030082702636719,dataset45
5,0.96,KNN-7,0.0060045719146728516,dataset46
6,0.96,KNN-7,0.005995750427246094,dataset47
7,0.94,KNN-7,0.006000518798828125,dataset48
8,0.98,KNN-7,0.005004167556762695,dataset49
9,1.0,KNN-7,0.005994319915771484,dataset50
0,0.96,KNN-9,0.004988670349121094,dataset1
1,0.98,KNN-9,0.005993843078613281,dataset2
2,0.92,KNN-9,0.005997896194458008,dataset3
3,1.0,KNN-9,0.006009101867675781,dataset4
4,0.98,KNN-9,0.005957365036010742,dataset5
5,0.96,KNN-9,0.006000995635986328,dataset6
6,0.96,KNN-9,0.005965471267700195,dataset7
7,0.94,KNN-9,0.006035804748535156,dataset8
8,0.98,KNN-9,0.004998683929443359,dataset9
9,1.0,KNN-9,0.005961418151855469,dataset10
0,0.96,KNN-9,0.007000923156738281,dataset11
1,0.98,KNN-9,0.00899815559387207,dataset12
2,0.92,KNN-9,0.006002187728881836,dataset13
3,1.0,KNN-9,0.00899648666381836,dataset14
4,0.98,KNN-9,0.006000995635986328,dataset15
5,0.96,KNN-9,0.007045745849609375,dataset16
6,0.96,KNN-9,0.0069942474365234375,dataset17
7,0.94,KNN-9,0.009005308151245117,dataset18
8,0.98,KNN-9,0.007033586502075195,dataset19
9,1.0,KNN-9,0.007969141006469727,dataset20
0,0.96,KNN-9,0.0059680938720703125,dataset21
1,0.98,KNN-9,0.008991718292236328,dataset22
2,0.92,KNN-9,0.006001949310302734,dataset23
3,1.0,KNN-9,0.008998870849609375,dataset24
4,0.98,KNN-9,0.008050918579101562,dataset25
5,0.96,KNN-9,0.00795602798461914,dataset26
6,0.96,KNN-9,0.007994890213012695,dataset27
7,0.94,KNN-9,0.010003089904785156,dataset28
8,0.98,KNN-9,0.0070307254791259766,dataset29
9,1.0,KNN-9,0.009964704513549805,dataset30
0,0.96,KNN-9,0.007964372634887695,dataset31
1,0.98,KNN-9,0.006987810134887695,dataset32
2,0.92,KNN-9,0.009002923965454102,dataset33
3,1.0,KNN-9,0.006024360656738281,dataset34
4,0.98,KNN-9,0.006953001022338867,dataset35
5,0.96,KNN-9,0.006043434143066406,dataset36
6,0.96,KNN-9,0.005998849868774414,dataset37
7,0.94,KNN-9,0.006954669952392578,dataset38
8,0.98,KNN-9,0.0070493221282958984,dataset39
9,1.0,KNN-9,0.005949258804321289,dataset40
0,0.96,KNN-9,0.006994724273681641,dataset41
1,0.98,KNN-9,0.0069522857666015625,dataset42
2,0.92,KNN-9,0.007002115249633789,dataset43
3,1.0,KNN-9,0.00801396369934082,dataset44
4,0.98,KNN-9,0.005968332290649414,dataset45
5,0.96,KNN-9,0.006002187728881836,dataset46
6,0.96,KNN-9,0.009046077728271484,dataset47
7,0.94,KNN-9,0.006005287170410156,dataset48
8,0.98,KNN-9,0.00793910026550293,dataset49
9,1.0,KNN-9,0.00899648666381836,dataset50
0,1.0,KNN-15,0.009030580520629883,dataset1
1,1.0,KNN-15,0.008967161178588867,dataset2
2,0.94,KNN-15,0.005978584289550781,dataset3
3,1.0,KNN-15,0.0070037841796875,dataset4
4,0.96,KNN-15,0.009996652603149414,dataset5
5,0.96,KNN-15,0.008001565933227539,dataset6
6,0.98,KNN-15,0.006986141204833984,dataset7
7,0.94,KNN-15,0.009998321533203125,dataset8
8,0.98,KNN-15,0.007002830505371094,dataset9
9,1.0,KNN-15,0.007918119430541992,dataset10
0,1.0,KNN-15,0.009031295776367188,dataset11
1,1.0,KNN-15,0.005965232849121094,dataset12
2,0.94,KNN-15,0.009003400802612305,dataset13
3,1.0,KNN-15,0.00797891616821289,dataset14
4,0.96,KNN-15,0.008995532989501953,dataset15
5,0.96,KNN-15,0.006002902984619141,dataset16
6,0.98,KNN-15,0.01203298568725586,dataset17
7,0.94,KNN-15,0.010964393615722656,dataset18
8,0.98,KNN-15,0.008027076721191406,dataset19
9,1.0,KNN-15,0.007000446319580078,dataset20
0,1.0,KNN-15,0.006028890609741211,dataset21
1,1.0,KNN-15,0.006034374237060547,dataset22
2,0.94,KNN-15,0.005994558334350586,dataset23
3,1.0,KNN-15,0.006000041961669922,dataset24
4,0.96,KNN-15,0.00599980354309082,dataset25
5,0.96,KNN-15,0.006006956100463867,dataset26
6,0.98,KNN-15,0.006994962692260742,dataset27
7,0.94,KNN-15,0.0060024261474609375,dataset28
8,0.98,KNN-15,0.006995439529418945,dataset29
9,1.0,KNN-15,0.005997896194458008,dataset30
0,1.0,KNN-15,0.0070002079010009766,dataset31
1,1.0,KNN-15,0.0060040950775146484,dataset32
2,0.94,KNN-15,0.006004810333251953,dataset33
3,1.0,KNN-15,0.0059986114501953125,dataset34
4,0.96,KNN-15,0.0060002803802490234,dataset35
5,0.96,KNN-15,0.0059888362884521484,dataset36
6,0.98,KNN-15,0.006000995635986328,dataset37
7,0.94,KNN-15,0.0060100555419921875,dataset38
8,0.98,KNN-15,0.0060002803802490234,dataset39
9,1.0,KNN-15,0.006002664566040039,dataset40
0,1.0,KNN-15,0.006960868835449219,dataset41
1,1.0,KNN-15,0.006000041961669922,dataset42
2,0.94,KNN-15,0.006002664566040039,dataset43
3,1.0,KNN-15,0.0059967041015625,dataset44
4,0.96,KNN-15,0.006000041961669922,dataset45
5,0.96,KNN-15,0.0060007572174072266,dataset46
6,0.98,KNN-15,0.004999876022338867,dataset47
7,0.94,KNN-15,0.00500035285949707,dataset48
8,0.98,KNN-15,0.00599980354309082,dataset49
9,1.0,KNN-15,0.00599980354309082,dataset50
0,0.9,DecisionTree,0.005002021789550781,dataset1
1,0.9,DecisionTree,0.003997802734375,dataset2
2,0.94,DecisionTree,0.0039997100830078125,dataset3
3,0.96,DecisionTree,0.003000497817993164,dataset4
4,0.96,DecisionTree,0.004001617431640625,dataset5
5,0.98,DecisionTree,0.0039980411529541016,dataset6
6,0.94,DecisionTree,0.003999948501586914,dataset7
7,0.9,DecisionTree,0.0040018558502197266,dataset8
8,0.9,DecisionTree,0.004001140594482422,dataset9
9,1.0,DecisionTree,0.003997325897216797,dataset10
0,0.9,DecisionTree,0.004000663757324219,dataset11
1,0.92,DecisionTree,0.003000974655151367,dataset12
2,0.94,DecisionTree,0.003998756408691406,dataset13
3,0.96,DecisionTree,0.003000020980834961,dataset14
4,0.96,DecisionTree,0.0030002593994140625,dataset15
5,0.96,DecisionTree,0.0029997825622558594,dataset16
6,0.96,DecisionTree,0.002997875213623047,dataset17
7,0.92,DecisionTree,0.002999544143676758,dataset18
8,0.9,DecisionTree,0.00299835205078125,dataset19
9,1.0,DecisionTree,0.002999544143676758,dataset20
0,0.9,DecisionTree,0.003996610641479492,dataset21
1,0.92,DecisionTree,0.003999471664428711,dataset22
2,0.96,DecisionTree,0.004000186920166016,dataset23
3,0.96,DecisionTree,0.0040035247802734375,dataset24
4,0.98,DecisionTree,0.003996372222900391,dataset25
5,0.96,DecisionTree,0.0039958953857421875,dataset26
6,0.96,DecisionTree,0.0029997825622558594,dataset27
7,0.92,DecisionTree,0.004002809524536133,dataset28
8,0.9,DecisionTree,0.003999233245849609,dataset29
9,0.98,DecisionTree,0.003998994827270508,dataset30
0,0.9,DecisionTree,0.005006074905395508,dataset31
1,0.92,DecisionTree,0.003993034362792969,dataset32
2,0.94,DecisionTree,0.002999544143676758,dataset33
3,0.96,DecisionTree,0.004000186920166016,dataset34
4,0.98,DecisionTree,0.00600433349609375,dataset35
5,0.96,DecisionTree,0.007035732269287109,dataset36
6,0.96,DecisionTree,0.003966093063354492,dataset37
7,0.92,DecisionTree,0.004000186920166016,dataset38
8,0.9,DecisionTree,0.003997802734375,dataset39
9,1.0,DecisionTree,0.003999948501586914,dataset40
0,0.9,DecisionTree,0.007002592086791992,dataset41
1,0.9,DecisionTree,0.0039980411529541016,dataset42
2,0.94,DecisionTree,0.006002664566040039,dataset43
3,0.96,DecisionTree,0.004985332489013672,dataset44
4,0.98,DecisionTree,0.005030632019042969,dataset45
5,0.98,DecisionTree,0.005973100662231445,dataset46
6,0.94,DecisionTree,0.0069980621337890625,dataset47
7,0.92,DecisionTree,0.004965066909790039,dataset48
8,0.9,DecisionTree,0.007000446319580078,dataset49
9,0.98,DecisionTree,0.003999471664428711,dataset50
0,0.68,MultinomialNB,0.00600123405456543,dataset1
1,0.28,MultinomialNB,0.005036354064941406,dataset2
2,0.5,MultinomialNB,0.004983425140380859,dataset3
3,0.6,MultinomialNB,0.00901651382446289,dataset4
4,0.56,MultinomialNB,0.005997657775878906,dataset5
5,0.62,MultinomialNB,0.00796365737915039,dataset6
6,0.64,MultinomialNB,0.004998445510864258,dataset7
7,0.66,MultinomialNB,0.003998756408691406,dataset8
8,0.32,MultinomialNB,0.008002996444702148,dataset9
9,0.58,MultinomialNB,0.003996610641479492,dataset10
0,0.68,MultinomialNB,0.009008646011352539,dataset11
1,0.28,MultinomialNB,0.0110015869140625,dataset12
2,0.5,MultinomialNB,0.00895547866821289,dataset13
3,0.6,MultinomialNB,0.008960247039794922,dataset14
4,0.56,MultinomialNB,0.003999471664428711,dataset15
5,0.62,MultinomialNB,0.005000591278076172,dataset16
6,0.64,MultinomialNB,0.007999658584594727,dataset17
7,0.66,MultinomialNB,0.004000186920166016,dataset18
8,0.32,MultinomialNB,0.008026361465454102,dataset19
9,0.58,MultinomialNB,0.003971576690673828,dataset20
0,0.68,MultinomialNB,0.007038116455078125,dataset21
1,0.28,MultinomialNB,0.004994869232177734,dataset22
2,0.5,MultinomialNB,0.004033565521240234,dataset23
3,0.6,MultinomialNB,0.006014585494995117,dataset24
4,0.56,MultinomialNB,0.0049860477447509766,dataset25
5,0.62,MultinomialNB,0.004002809524536133,dataset26
6,0.64,MultinomialNB,0.004004240036010742,dataset27
7,0.66,MultinomialNB,0.006032466888427734,dataset28
8,0.32,MultinomialNB,0.004004478454589844,dataset29
9,0.58,MultinomialNB,0.003999233245849609,dataset30
0,0.68,MultinomialNB,0.008002281188964844,dataset31
1,0.28,MultinomialNB,0.009009122848510742,dataset32
2,0.5,MultinomialNB,0.006989717483520508,dataset33
3,0.6,MultinomialNB,0.004007816314697266,dataset34
4,0.56,MultinomialNB,0.003996133804321289,dataset35
5,0.62,MultinomialNB,0.0039980411529541016,dataset36
6,0.64,MultinomialNB,0.0040056705474853516,dataset37
7,0.66,MultinomialNB,0.005965232849121094,dataset38
8,0.32,MultinomialNB,0.004033327102661133,dataset39
9,0.58,MultinomialNB,0.0039632320404052734,dataset40
0,0.68,MultinomialNB,0.0050051212310791016,dataset41
1,0.28,MultinomialNB,0.005029201507568359,dataset42
2,0.5,MultinomialNB,0.004968881607055664,dataset43
3,0.6,MultinomialNB,0.008041143417358398,dataset44
4,0.56,MultinomialNB,0.003996372222900391,dataset45
5,0.62,MultinomialNB,0.004967212677001953,dataset46
6,0.64,MultinomialNB,0.011042594909667969,dataset47
7,0.66,MultinomialNB,0.010997772216796875,dataset48
8,0.32,MultinomialNB,0.0050029754638671875,dataset49
9,0.58,MultinomialNB,0.005002021789550781,dataset50
