,accuracy,classifier_name,fit_time,dataset_name
0,0.98,KNN-3,0.017000675201416016,dataset1
1,1.0,KNN-3,0.008998394012451172,dataset2
2,0.92,KNN-3,0.007999897003173828,dataset3
3,0.96,KNN-3,0.0069997310638427734,dataset4
4,0.96,KNN-3,0.005997180938720703,dataset5
5,0.96,KNN-3,0.006001472473144531,dataset6
6,0.94,KNN-3,0.004999399185180664,dataset7
7,0.94,KNN-3,0.004998683929443359,dataset8
8,0.98,KNN-3,0.007002830505371094,dataset9
9,0.94,KNN-3,0.005996227264404297,dataset10
0,0.98,KNN-3,0.007997512817382812,dataset11
1,1.0,KNN-3,0.005994081497192383,dataset12
2,0.92,KNN-3,0.00600433349609375,dataset13
3,0.96,KNN-3,0.004998445510864258,dataset14
4,0.96,KNN-3,0.005001068115234375,dataset15
5,0.96,KNN-3,0.005998134613037109,dataset16
6,0.94,KNN-3,0.004999876022338867,dataset17
7,0.94,KNN-3,0.004998207092285156,dataset18
8,0.98,KNN-3,0.00500798225402832,dataset19
9,0.94,KNN-3,0.00599217414855957,dataset20
0,0.98,KNN-3,0.004004716873168945,dataset21
1,1.0,KNN-3,0.006969928741455078,dataset22
2,0.92,KNN-3,0.008000612258911133,dataset23
3,0.96,KNN-3,0.0060100555419921875,dataset24
4,0.96,KNN-3,0.005990505218505859,dataset25
5,0.96,KNN-3,0.005023479461669922,dataset26
6,0.94,KNN-3,0.0049746036529541016,dataset27
7,0.94,KNN-3,0.004000186920166016,dataset28
8,0.98,KNN-3,0.003999233245849609,dataset29
9,0.94,KNN-3,0.0050013065338134766,dataset30
0,0.98,KNN-3,0.0049991607666015625,dataset31
1,1.0,KNN-3,0.0060002803802490234,dataset32
2,0.92,KNN-3,0.006000995635986328,dataset33
3,0.96,KNN-3,0.004999637603759766,dataset34
4,0.96,KNN-3,0.005000591278076172,dataset35
5,0.96,KNN-3,0.004996538162231445,dataset36
6,0.94,KNN-3,0.005002260208129883,dataset37
7,0.94,KNN-3,0.004999399185180664,dataset38
8,0.98,KNN-3,0.005998134613037109,dataset39
9,0.94,KNN-3,0.004001140594482422,dataset40
0,0.98,KNN-3,0.0049991607666015625,dataset41
1,1.0,KNN-3,0.0060007572174072266,dataset42
2,0.92,KNN-3,0.004999637603759766,dataset43
3,0.96,KNN-3,0.004000186920166016,dataset44
4,0.96,KNN-3,0.006037712097167969,dataset45
5,0.96,KNN-3,0.004964351654052734,dataset46
6,0.94,KNN-3,0.005000591278076172,dataset47
7,0.94,KNN-3,0.005999565124511719,dataset48
8,0.98,KNN-3,0.00599980354309082,dataset49
9,0.94,KNN-3,0.0060083866119384766,dataset50
0,0.98,W-KNN-3,0.006038188934326172,dataset1
1,1.0,W-KNN-3,0.004998445510864258,dataset2
2,0.92,W-KNN-3,0.006986141204833984,dataset3
3,0.96,W-KNN-3,0.00500035285949707,dataset4
4,0.96,W-KNN-3,0.004999637603759766,dataset5
5,0.96,W-KNN-3,0.00800013542175293,dataset6
6,0.94,W-KNN-3,0.0059969425201416016,dataset7
7,0.94,W-KNN-3,0.009996652603149414,dataset8
8,0.98,W-KNN-3,0.0059986114501953125,dataset9
9,0.94,W-KNN-3,0.009000062942504883,dataset10
0,0.98,W-KNN-3,0.003999471664428711,dataset11
1,1.0,W-KNN-3,0.01000213623046875,dataset12
2,0.92,W-KNN-3,0.004995107650756836,dataset13
3,0.96,W-KNN-3,0.0070018768310546875,dataset14
4,0.96,W-KNN-3,0.0039997100830078125,dataset15
5,0.96,W-KNN-3,0.0039997100830078125,dataset16
6,0.94,W-KNN-3,0.008002519607543945,dataset17
7,0.94,W-KNN-3,0.004998445510864258,dataset18
8,0.98,W-KNN-3,0.003999471664428711,dataset19
9,0.94,W-KNN-3,0.007028341293334961,dataset20
0,0.98,W-KNN-3,0.008000612258911133,dataset21
1,1.0,W-KNN-3,0.0069904327392578125,dataset22
2,0.92,W-KNN-3,0.003999233245849609,dataset23
3,0.96,W-KNN-3,0.005003929138183594,dataset24
4,0.96,W-KNN-3,0.004976511001586914,dataset25
5,0.96,W-KNN-3,0.004999399185180664,dataset26
6,0.94,W-KNN-3,0.008009910583496094,dataset27
7,0.94,W-KNN-3,0.003988981246948242,dataset28
8,0.98,W-KNN-3,0.00400090217590332,dataset29
9,0.94,W-KNN-3,0.003999233245849609,dataset30
0,0.98,W-KNN-3,0.003998994827270508,dataset31
1,1.0,W-KNN-3,0.00400090217590332,dataset32
2,0.92,W-KNN-3,0.002999544143676758,dataset33
3,0.96,W-KNN-3,0.008002996444702148,dataset34
4,0.96,W-KNN-3,0.003999471664428711,dataset35
5,0.96,W-KNN-3,0.003998994827270508,dataset36
6,0.94,W-KNN-3,0.005998134613037109,dataset37
7,0.94,W-KNN-3,0.004000425338745117,dataset38
8,0.98,W-KNN-3,0.00400090217590332,dataset39
9,0.94,W-KNN-3,0.005006551742553711,dataset40
0,0.98,W-KNN-3,0.006003856658935547,dataset41
1,1.0,W-KNN-3,0.0039980411529541016,dataset42
2,0.92,W-KNN-3,0.0049970149993896484,dataset43
3,0.96,W-KNN-3,0.004002809524536133,dataset44
4,0.96,W-KNN-3,0.003997802734375,dataset45
5,0.96,W-KNN-3,0.003999233245849609,dataset46
6,0.94,W-KNN-3,0.005004405975341797,dataset47
7,0.94,W-KNN-3,0.002994060516357422,dataset48
8,0.98,W-KNN-3,0.0030355453491210938,dataset49
9,0.94,W-KNN-3,0.0030050277709960938,dataset50
0,0.98,KNN-7,0.0049896240234375,dataset1
1,1.0,KNN-7,0.004999637603759766,dataset2
2,0.92,KNN-7,0.006009340286254883,dataset3
3,0.98,KNN-7,0.005019426345825195,dataset4
4,0.94,KNN-7,0.00400233268737793,dataset5
5,0.98,KNN-7,0.005971670150756836,dataset6
6,0.98,KNN-7,0.004980802536010742,dataset7
7,0.98,KNN-7,0.004000663757324219,dataset8
8,1.0,KNN-7,0.007006406784057617,dataset9
9,0.98,KNN-7,0.004974842071533203,dataset10
0,0.98,KNN-7,0.003999948501586914,dataset11
1,1.0,KNN-7,0.006000518798828125,dataset12
2,0.92,KNN-7,0.004999637603759766,dataset13
3,0.98,KNN-7,0.00500035285949707,dataset14
4,0.94,KNN-7,0.006000041961669922,dataset15
5,0.98,KNN-7,0.0049991607666015625,dataset16
6,0.98,KNN-7,0.00600123405456543,dataset17
7,0.98,KNN-7,0.00503849983215332,dataset18
8,1.0,KNN-7,0.0050008296966552734,dataset19
9,0.98,KNN-7,0.004998207092285156,dataset20
0,0.98,KNN-7,0.04004788398742676,dataset21
1,1.0,KNN-7,0.0049855709075927734,dataset22
2,0.92,KNN-7,0.005002021789550781,dataset23
3,0.98,KNN-7,0.004993438720703125,dataset24
4,0.94,KNN-7,0.0050089359283447266,dataset25
5,0.98,KNN-7,0.005963325500488281,dataset26
6,0.98,KNN-7,0.005033969879150391,dataset27
7,0.98,KNN-7,0.005995750427246094,dataset28
8,1.0,KNN-7,0.008016824722290039,dataset29
9,0.98,KNN-7,0.005980014801025391,dataset30
0,0.98,KNN-7,0.007048606872558594,dataset31
1,1.0,KNN-7,0.0049495697021484375,dataset32
2,0.92,KNN-7,0.005000591278076172,dataset33
3,0.98,KNN-7,0.007994413375854492,dataset34
4,0.94,KNN-7,0.004003763198852539,dataset35
5,0.98,KNN-7,0.007016181945800781,dataset36
6,0.98,KNN-7,0.00498199462890625,dataset37
7,0.98,KNN-7,0.004000186920166016,dataset38
8,1.0,KNN-7,0.008054733276367188,dataset39
9,0.98,KNN-7,0.005982398986816406,dataset40
0,0.98,KNN-7,0.006968021392822266,dataset41
1,1.0,KNN-7,0.0050334930419921875,dataset42
2,0.92,KNN-7,0.005000114440917969,dataset43
3,0.98,KNN-7,0.00696563720703125,dataset44
4,0.94,KNN-7,0.005040407180786133,dataset45
5,0.98,KNN-7,0.004948139190673828,dataset46
6,0.98,KNN-7,0.007004737854003906,dataset47
7,0.98,KNN-7,0.003999233245849609,dataset48
8,1.0,KNN-7,0.007001399993896484,dataset49
9,0.98,KNN-7,0.0049970149993896484,dataset50
0,0.98,W-KNN-7,0.003999471664428711,dataset1
1,1.0,W-KNN-7,0.005967617034912109,dataset2
2,0.92,W-KNN-7,0.003997802734375,dataset3
3,0.98,W-KNN-7,0.003017902374267578,dataset4
4,0.94,W-KNN-7,0.006949663162231445,dataset5
5,0.98,W-KNN-7,0.004999399185180664,dataset6
6,0.96,W-KNN-7,0.003999948501586914,dataset7
7,0.98,W-KNN-7,0.00400090217590332,dataset8
8,1.0,W-KNN-7,0.00603938102722168,dataset9
9,0.98,W-KNN-7,0.003994941711425781,dataset10
0,0.98,W-KNN-7,0.005970001220703125,dataset11
1,1.0,W-KNN-7,0.003997087478637695,dataset12
2,0.92,W-KNN-7,0.002998828887939453,dataset13
3,0.98,W-KNN-7,0.004000663757324219,dataset14
4,0.94,W-KNN-7,0.004999637603759766,dataset15
5,0.98,W-KNN-7,0.004000425338745117,dataset16
6,0.96,W-KNN-7,0.003998994827270508,dataset17
7,0.98,W-KNN-7,0.005073070526123047,dataset18
8,1.0,W-KNN-7,0.004971027374267578,dataset19
9,0.98,W-KNN-7,0.004004240036010742,dataset20
0,0.98,W-KNN-7,0.008001089096069336,dataset21
1,1.0,W-KNN-7,0.004034996032714844,dataset22
2,0.92,W-KNN-7,0.0039980411529541016,dataset23
3,0.98,W-KNN-7,0.006017923355102539,dataset24
4,0.94,W-KNN-7,0.004025697708129883,dataset25
5,0.98,W-KNN-7,0.003990888595581055,dataset26
6,0.96,W-KNN-7,0.004008293151855469,dataset27
7,0.98,W-KNN-7,0.005964040756225586,dataset28
8,1.0,W-KNN-7,0.004000663757324219,dataset29
9,0.98,W-KNN-7,0.003999471664428711,dataset30
0,0.98,W-KNN-7,0.004998683929443359,dataset31
1,1.0,W-KNN-7,0.003991127014160156,dataset32
2,0.92,W-KNN-7,0.0040090084075927734,dataset33
3,0.98,W-KNN-7,0.006999492645263672,dataset34
4,0.94,W-KNN-7,0.0049686431884765625,dataset35
5,0.98,W-KNN-7,0.004031658172607422,dataset36
6,0.96,W-KNN-7,0.007036924362182617,dataset37
7,0.98,W-KNN-7,0.003966331481933594,dataset38
8,1.0,W-KNN-7,0.003999948501586914,dataset39
9,0.98,W-KNN-7,0.007004976272583008,dataset40
0,0.98,W-KNN-7,0.006001949310302734,dataset41
1,1.0,W-KNN-7,0.0050432682037353516,dataset42
2,0.92,W-KNN-7,0.003947257995605469,dataset43
3,0.98,W-KNN-7,0.004044055938720703,dataset44
4,0.94,W-KNN-7,0.003983259201049805,dataset45
5,0.98,W-KNN-7,0.005978822708129883,dataset46
6,0.96,W-KNN-7,0.003996849060058594,dataset47
7,0.98,W-KNN-7,0.00400090217590332,dataset48
8,1.0,W-KNN-7,0.0060083866119384766,dataset49
9,0.98,W-KNN-7,0.00402379035949707,dataset50
0,1.0,KNN-15,0.005033731460571289,dataset1
1,1.0,KNN-15,0.009024858474731445,dataset2
2,0.88,KNN-15,0.006009578704833984,dataset3
3,0.94,KNN-15,0.0069620609283447266,dataset4
4,0.94,KNN-15,0.004991769790649414,dataset5
5,0.96,KNN-15,0.004978179931640625,dataset6
6,0.96,KNN-15,0.009021282196044922,dataset7
7,0.98,KNN-15,0.004974365234375,dataset8
8,1.0,KNN-15,0.007997512817382812,dataset9
9,0.94,KNN-15,0.00500178337097168,dataset10
0,1.0,KNN-15,0.007023334503173828,dataset11
1,1.0,KNN-15,0.005013465881347656,dataset12
2,0.88,KNN-15,0.004996776580810547,dataset13
3,0.94,KNN-15,0.006962299346923828,dataset14
4,0.94,KNN-15,0.005998373031616211,dataset15
5,0.96,KNN-15,0.006002187728881836,dataset16
6,0.96,KNN-15,0.00801396369934082,dataset17
7,0.98,KNN-15,0.004987955093383789,dataset18
8,1.0,KNN-15,0.008000612258911133,dataset19
9,0.94,KNN-15,0.005000114440917969,dataset20
0,1.0,KNN-15,0.010036468505859375,dataset21
1,1.0,KNN-15,0.008959293365478516,dataset22
2,0.88,KNN-15,0.008002042770385742,dataset23
3,0.94,KNN-15,0.004993438720703125,dataset24
4,0.94,KNN-15,0.007999420166015625,dataset25
5,0.96,KNN-15,0.006000518798828125,dataset26
6,0.96,KNN-15,0.008001089096069336,dataset27
7,0.98,KNN-15,0.006996870040893555,dataset28
8,1.0,KNN-15,0.010004520416259766,dataset29
9,0.94,KNN-15,0.005000114440917969,dataset30
0,1.0,KNN-15,0.0070002079010009766,dataset31
1,1.0,KNN-15,0.005965232849121094,dataset32
2,0.88,KNN-15,0.00800466537475586,dataset33
3,0.94,KNN-15,0.004994392395019531,dataset34
4,0.94,KNN-15,0.005999565124511719,dataset35
5,0.96,KNN-15,0.008003950119018555,dataset36
6,0.96,KNN-15,0.0059986114501953125,dataset37
7,0.98,KNN-15,0.008005619049072266,dataset38
8,1.0,KNN-15,0.005992412567138672,dataset39
9,0.94,KNN-15,0.005999565124511719,dataset40
0,1.0,KNN-15,0.005966663360595703,dataset41
1,1.0,KNN-15,0.005002021789550781,dataset42
2,0.88,KNN-15,0.008001327514648438,dataset43
3,0.94,KNN-15,0.005997657775878906,dataset44
4,0.94,KNN-15,0.007999181747436523,dataset45
5,0.96,KNN-15,0.005998849868774414,dataset46
6,0.96,KNN-15,0.00500035285949707,dataset47
7,0.98,KNN-15,0.008033514022827148,dataset48
8,1.0,KNN-15,0.004965066909790039,dataset49
9,0.94,KNN-15,0.009998321533203125,dataset50
0,1.0,W-KNN-15,0.003999233245849609,dataset1
1,1.0,W-KNN-15,0.008000850677490234,dataset2
2,0.9,W-KNN-15,0.004999637603759766,dataset3
3,0.96,W-KNN-15,0.003999471664428711,dataset4
4,0.94,W-KNN-15,0.0070002079010009766,dataset5
5,0.96,W-KNN-15,0.003998517990112305,dataset6
6,0.98,W-KNN-15,0.0030052661895751953,dataset7
7,0.98,W-KNN-15,0.008001089096069336,dataset8
8,1.0,W-KNN-15,0.003999471664428711,dataset9
9,0.96,W-KNN-15,0.0050013065338134766,dataset10
0,1.0,W-KNN-15,0.003999233245849609,dataset11
1,1.0,W-KNN-15,0.003998279571533203,dataset12
2,0.9,W-KNN-15,0.0039997100830078125,dataset13
3,0.96,W-KNN-15,0.007001638412475586,dataset14
4,0.94,W-KNN-15,0.003998756408691406,dataset15
5,0.96,W-KNN-15,0.004001617431640625,dataset16
6,0.98,W-KNN-15,0.006048679351806641,dataset17
7,0.98,W-KNN-15,0.003997802734375,dataset18
8,1.0,W-KNN-15,0.004000425338745117,dataset19
9,0.96,W-KNN-15,0.0029942989349365234,dataset20
0,1.0,W-KNN-15,0.004000425338745117,dataset21
1,1.0,W-KNN-15,0.003961324691772461,dataset22
2,0.9,W-KNN-15,0.004004955291748047,dataset23
3,0.96,W-KNN-15,0.004998922348022461,dataset24
4,0.94,W-KNN-15,0.005044698715209961,dataset25
5,0.96,W-KNN-15,0.003986358642578125,dataset26
6,0.98,W-KNN-15,0.005999565124511719,dataset27
7,0.98,W-KNN-15,0.003998994827270508,dataset28
8,1.0,W-KNN-15,0.003998756408691406,dataset29
9,0.96,W-KNN-15,0.007000446319580078,dataset30
0,1.0,W-KNN-15,0.004997968673706055,dataset31
1,1.0,W-KNN-15,0.0039997100830078125,dataset32
2,0.9,W-KNN-15,0.0060040950775146484,dataset33
3,0.96,W-KNN-15,0.003999948501586914,dataset34
4,0.94,W-KNN-15,0.0030002593994140625,dataset35
5,0.96,W-KNN-15,0.0050144195556640625,dataset36
6,0.98,W-KNN-15,0.003971576690673828,dataset37
7,0.98,W-KNN-15,0.005049467086791992,dataset38
8,1.0,W-KNN-15,0.003954172134399414,dataset39
9,0.96,W-KNN-15,0.005999326705932617,dataset40
0,1.0,W-KNN-15,0.003999948501586914,dataset41
1,1.0,W-KNN-15,0.007028102874755859,dataset42
2,0.9,W-KNN-15,0.003991365432739258,dataset43
3,0.96,W-KNN-15,0.003998994827270508,dataset44
4,0.94,W-KNN-15,0.004012584686279297,dataset45
5,0.96,W-KNN-15,0.007003068923950195,dataset46
6,0.98,W-KNN-15,0.00400233268737793,dataset47
7,0.98,W-KNN-15,0.004033088684082031,dataset48
8,1.0,W-KNN-15,0.004990577697753906,dataset49
9,0.96,W-KNN-15,0.003976345062255859,dataset50
0,0.98,DecisionTree,0.009003639221191406,dataset1
1,0.98,DecisionTree,0.002996206283569336,dataset2
2,0.9,DecisionTree,0.003001689910888672,dataset3
3,0.92,DecisionTree,0.0030002593994140625,dataset4
4,0.9,DecisionTree,0.005968570709228516,dataset5
5,0.96,DecisionTree,0.0030090808868408203,dataset6
6,0.92,DecisionTree,0.003988981246948242,dataset7
7,0.88,DecisionTree,0.0030002593994140625,dataset8
8,0.98,DecisionTree,0.007000446319580078,dataset9
9,0.88,DecisionTree,0.0030336380004882812,dataset10
0,0.98,DecisionTree,0.003962278366088867,dataset11
1,0.98,DecisionTree,0.0050048828125,dataset12
2,0.9,DecisionTree,0.004029273986816406,dataset13
3,0.94,DecisionTree,0.0030007362365722656,dataset14
4,0.92,DecisionTree,0.0029921531677246094,dataset15
5,0.96,DecisionTree,0.005004405975341797,dataset16
6,0.92,DecisionTree,0.0029952526092529297,dataset17
7,0.94,DecisionTree,0.0029993057250976562,dataset18
8,0.96,DecisionTree,0.003000497817993164,dataset19
9,0.9,DecisionTree,0.005017995834350586,dataset20
0,0.98,DecisionTree,0.0030012130737304688,dataset21
1,0.98,DecisionTree,0.0029997825622558594,dataset22
2,0.88,DecisionTree,0.0040035247802734375,dataset23
3,0.94,DecisionTree,0.005032062530517578,dataset24
4,0.94,DecisionTree,0.003968238830566406,dataset25
5,0.96,DecisionTree,0.0030374526977539062,dataset26
6,0.92,DecisionTree,0.005022764205932617,dataset27
7,0.88,DecisionTree,0.0029828548431396484,dataset28
8,0.98,DecisionTree,0.0030024051666259766,dataset29
9,0.9,DecisionTree,0.0029959678649902344,dataset30
0,1.0,DecisionTree,0.005962848663330078,dataset31
1,0.98,DecisionTree,0.002999544143676758,dataset32
2,0.9,DecisionTree,0.0030014514923095703,dataset33
3,0.94,DecisionTree,0.0030117034912109375,dataset34
4,0.9,DecisionTree,0.005995273590087891,dataset35
5,0.96,DecisionTree,0.0030374526977539062,dataset36
6,0.92,DecisionTree,0.002967357635498047,dataset37
7,0.94,DecisionTree,0.00299835205078125,dataset38
8,0.98,DecisionTree,0.0050008296966552734,dataset39
9,0.94,DecisionTree,0.003001689910888672,dataset40
0,1.0,DecisionTree,0.002963542938232422,dataset41
