,classifier_name,dataset_name,accuracy,fit_time
110,KNN7,dataset11,0.98,0.00800013542175293
111,KNN7,dataset12,0.98,0.005997896194458008
112,KNN7,dataset13,0.94,0.009006977081298828
113,KNN7,dataset14,1.0,0.005998849868774414
114,KNN7,dataset15,0.98,0.008998394012451172
115,KNN7,dataset16,0.96,0.006000518798828125
116,KNN7,dataset17,0.96,0.008005142211914062
117,KNN7,dataset18,0.94,0.005995035171508789
118,KNN7,dataset19,0.98,0.005999565124511719
119,KNN7,dataset20,1.0,0.008997917175292969
120,KNN7,dataset21,0.98,0.005999565124511719
121,KNN7,dataset22,0.98,0.008037328720092773
122,KNN7,dataset23,0.94,0.00599980354309082
123,KNN7,dataset24,1.0,0.008967161178588867
124,KNN7,dataset25,0.98,0.006001472473144531
125,KNN7,dataset26,0.96,0.013999223709106445
126,KNN7,dataset27,0.96,0.007009267807006836
127,KNN7,dataset28,0.94,0.005989551544189453
128,KNN7,dataset29,0.98,0.00599980354309082
129,KNN7,dataset30,1.0,0.008992910385131836
130,KNN7,dataset31,0.98,0.0059986114501953125
131,KNN7,dataset32,0.98,0.009000301361083984
132,KNN7,dataset33,0.94,0.006997823715209961
133,KNN7,dataset34,1.0,0.00800013542175293
134,KNN7,dataset35,0.98,0.006001472473144531
135,KNN7,dataset36,0.96,0.010998010635375977
136,KNN7,dataset37,0.96,0.013000726699829102
137,KNN7,dataset38,0.94,0.00816202163696289
138,KNN7,dataset39,0.98,0.009222030639648438
139,KNN7,dataset40,1.0,0.0060002803802490234
140,KNN7,dataset41,0.98,0.008001565933227539
141,KNN7,dataset42,0.98,0.006003379821777344
142,KNN7,dataset43,0.94,0.008002281188964844
143,KNN7,dataset44,1.0,0.005995988845825195
144,KNN7,dataset45,0.98,0.0021109580993652344
145,KNN7,dataset46,0.96,0.011993169784545898
146,KNN7,dataset47,0.96,0.009001731872558594
147,KNN7,dataset48,0.94,0.005995988845825195
148,KNN7,dataset49,0.98,0.007049083709716797
149,KNN7,dataset50,1.0,0.008080244064331055
150,KNN9,dataset1,0.96,0.005869150161743164
151,KNN9,dataset2,0.98,0.007026195526123047
152,KNN9,dataset3,0.92,0.006005764007568359
153,KNN9,dataset4,1.0,0.0066716670989990234
154,KNN9,dataset5,0.98,0.00600433349609375
155,KNN9,dataset6,0.96,0.006982088088989258
156,KNN9,dataset7,0.96,0.00597834587097168
157,KNN9,dataset8,0.94,0.0060002803802490234
158,KNN9,dataset9,0.98,0.0070035457611083984
159,KNN9,dataset10,1.0,0.00600123405456543
160,KNN9,dataset11,0.96,0.005972862243652344
161,KNN9,dataset12,0.98,0.006003618240356445
162,KNN9,dataset13,0.92,0.006139278411865234
163,KNN9,dataset14,1.0,0.00745844841003418
164,KNN9,dataset15,0.98,0.007036685943603516
165,KNN9,dataset16,0.96,0.007962942123413086
166,KNN9,dataset17,0.96,0.006035804748535156
167,KNN9,dataset18,0.94,0.007005214691162109
168,KNN9,dataset19,0.98,0.0059969425201416016
169,KNN9,dataset20,1.0,0.00799250602722168
170,KNN9,dataset21,0.96,0.0069997310638427734
171,KNN9,dataset22,0.98,0.01070547103881836
172,KNN9,dataset23,0.92,0.010081768035888672
173,KNN9,dataset24,1.0,0.010552167892456055
174,KNN9,dataset25,0.98,0.0061359405517578125
175,KNN9,dataset26,0.96,0.014095067977905273
176,KNN9,dataset27,0.96,0.012531042098999023
177,KNN9,dataset28,0.94,0.012710332870483398
178,KNN9,dataset29,0.98,0.0069980621337890625
179,KNN9,dataset30,1.0,0.009659528732299805
180,KNN9,dataset31,0.96,0.011677026748657227
181,KNN9,dataset32,0.98,0.007994651794433594
182,KNN9,dataset33,0.92,0.01368093490600586
183,KNN9,dataset34,1.0,0.011662483215332031
184,KNN9,dataset35,0.98,0.009003639221191406
185,KNN9,dataset36,0.96,0.010654211044311523
186,KNN9,dataset37,0.96,0.00410008430480957
187,KNN9,dataset38,0.94,0.01658916473388672
188,KNN9,dataset39,0.98,0.009002447128295898
189,KNN9,dataset40,1.0,0.006102323532104492
190,KNN9,dataset41,0.96,0.010323762893676758
191,KNN9,dataset42,0.98,0.006088972091674805
192,KNN9,dataset43,0.92,0.010535001754760742
193,KNN9,dataset44,1.0,0.006001710891723633
194,KNN9,dataset45,0.98,0.007999658584594727
195,KNN9,dataset46,0.96,0.006999492645263672
196,KNN9,dataset47,0.96,0.007009029388427734
197,KNN9,dataset48,0.94,0.0059964656829833984
198,KNN9,dataset49,0.98,0.0030939579010009766
199,KNN9,dataset50,1.0,0.010932445526123047
200,KNN15,dataset1,1.0,0.004999399185180664
201,KNN15,dataset2,1.0,0.00699925422668457
202,KNN15,dataset3,0.94,0.005999326705932617
203,KNN15,dataset4,1.0,0.00700068473815918
204,KNN15,dataset5,0.96,0.005995035171508789
205,KNN15,dataset6,0.96,0.003037691116333008
206,KNN15,dataset7,0.98,0.010924577713012695
207,KNN15,dataset8,0.94,0.0060002803802490234
208,KNN15,dataset9,0.98,0.006999015808105469
209,KNN15,dataset10,1.0,0.006000041961669922
210,KNN15,dataset11,1.0,0.007002592086791992
211,KNN15,dataset12,1.0,0.00699615478515625
212,KNN15,dataset13,0.94,0.006000518798828125
213,KNN15,dataset14,1.0,0.007037639617919922
214,KNN15,dataset15,0.96,0.005995273590087891
215,KNN15,dataset16,0.96,0.00696563720703125
216,KNN15,dataset17,0.98,0.0059967041015625
217,KNN15,dataset18,0.94,0.006002187728881836
218,KNN15,dataset19,0.98,0.016001462936401367
219,KNN15,dataset20,1.0,0.013033151626586914
220,KNN15,dataset21,1.0,0.009966373443603516
221,KNN15,dataset22,1.0,0.007001399993896484
222,KNN15,dataset23,0.94,0.008997678756713867
223,KNN15,dataset24,1.0,0.005991935729980469
224,KNN15,dataset25,0.96,0.008032083511352539
225,KNN15,dataset26,0.96,0.007005214691162109
226,KNN15,dataset27,0.98,0.007960319519042969
227,KNN15,dataset28,0.94,0.007000446319580078
228,KNN15,dataset29,0.98,0.007001638412475586
229,KNN15,dataset30,1.0,0.005987644195556641
230,KNN15,dataset31,1.0,0.006011486053466797
231,KNN15,dataset32,1.0,0.007953882217407227
232,KNN15,dataset33,0.94,0.00599980354309082
233,KNN15,dataset34,1.0,0.0070343017578125
234,KNN15,dataset35,0.96,0.006002187728881836
235,KNN15,dataset36,0.96,0.008968353271484375
236,KNN15,dataset37,0.98,0.0059969425201416016
237,KNN15,dataset38,0.94,0.008048295974731445
238,KNN15,dataset39,0.98,0.005995273590087891
239,KNN15,dataset40,1.0,0.007009029388427734
240,KNN15,dataset41,1.0,0.007002115249633789
241,KNN15,dataset42,1.0,0.006000518798828125
242,KNN15,dataset43,0.94,0.007994413375854492
243,KNN15,dataset44,1.0,0.006000995635986328
244,KNN15,dataset45,0.96,0.007035732269287109
245,KNN15,dataset46,0.96,0.005999326705932617
246,KNN15,dataset47,0.98,0.006983757019042969
247,KNN15,dataset48,0.94,0.0069789886474609375
248,KNN15,dataset49,0.98,0.006035804748535156
249,KNN15,dataset50,1.0,0.0069658756256103516
250,DecisionTree,dataset1,0.9,0.005002260208129883
251,DecisionTree,dataset2,0.92,0.003988742828369141
252,DecisionTree,dataset3,0.94,0.0039861202239990234
253,DecisionTree,dataset4,0.96,0.003999471664428711
254,DecisionTree,dataset5,0.98,0.0030002593994140625
255,DecisionTree,dataset6,0.96,0.004996299743652344
256,DecisionTree,dataset7,0.96,0.002995729446411133
257,DecisionTree,dataset8,0.92,0.0030362606048583984
258,DecisionTree,dataset9,0.9,0.0029916763305664062
259,DecisionTree,dataset10,0.98,0.004004955291748047
260,DecisionTree,dataset11,0.9,0.003993511199951172
261,DecisionTree,dataset12,0.9,0.004000186920166016
262,DecisionTree,dataset13,0.96,0.004004955291748047
263,DecisionTree,dataset14,0.98,0.004961729049682617
264,DecisionTree,dataset15,0.96,0.003000497817993164
265,DecisionTree,dataset16,0.96,0.0029993057250976562
266,DecisionTree,dataset17,0.96,0.003000020980834961
267,DecisionTree,dataset18,0.92,0.004968404769897461
268,DecisionTree,dataset19,0.9,0.0039997100830078125
269,DecisionTree,dataset20,1.0,0.004000425338745117
270,DecisionTree,dataset21,0.9,0.004002094268798828
271,DecisionTree,dataset22,0.92,0.004001140594482422
272,DecisionTree,dataset23,0.94,0.003997087478637695
273,DecisionTree,dataset24,0.94,0.004000663757324219
274,DecisionTree,dataset25,0.98,0.005002498626708984
275,DecisionTree,dataset26,0.96,0.0039975643157958984
276,DecisionTree,dataset27,0.94,0.003999233245849609
277,DecisionTree,dataset28,0.9,0.003999948501586914
278,DecisionTree,dataset29,0.9,0.005002260208129883
279,DecisionTree,dataset30,1.0,0.0029973983764648438
280,DecisionTree,dataset31,0.9,0.0039997100830078125
281,DecisionTree,dataset32,0.94,0.004004478454589844
282,DecisionTree,dataset33,0.96,0.004030942916870117
283,DecisionTree,dataset34,0.98,0.0029976367950439453
284,DecisionTree,dataset35,0.96,0.0030024051666259766
285,DecisionTree,dataset36,0.96,0.004969358444213867
286,DecisionTree,dataset37,0.96,0.003997325897216797
287,DecisionTree,dataset38,0.92,0.0039997100830078125
288,DecisionTree,dataset39,0.9,0.004000425338745117
289,DecisionTree,dataset40,1.0,0.0050046443939208984
290,DecisionTree,dataset41,0.9,0.0039980411529541016
291,DecisionTree,dataset42,0.92,0.003999948501586914
292,DecisionTree,dataset43,0.94,0.003999948501586914
293,DecisionTree,dataset44,0.96,0.006002902984619141
294,DecisionTree,dataset45,0.98,0.003998756408691406
295,DecisionTree,dataset46,0.96,0.004000425338745117
296,DecisionTree,dataset47,0.94,0.004013776779174805
297,DecisionTree,dataset48,0.92,0.004000663757324219
298,DecisionTree,dataset49,0.9,0.004000425338745117
299,DecisionTree,dataset50,1.0,0.003999948501586914
